Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
60.0,20,20,0,0,0,0,0,0,0,19618.760169781304,61508.68109459105,1458.6322351826736,8.07087568757727,23.212252505921416,1.289671767011513,11.0,89.94082360883378
120.0,53,53,0,0,0,0,0,0,0,83431.17642386351,261573.22788054807,7192.843663239089,39.07946738782088,104.188627610177,5.968430221921137,226.0,630.1432478714441
180.0,89,89,0,0,0,0,0,0,0,195648.60801320153,613400.4356873482,14701.05508034778,81.53361822071793,246.0310143343118,13.296567754891356,760.0,2015.5980156838127
240.0,111,111,0,0,0,0,0,0,0,291643.16891202226,914361.9284342059,21989.45772764323,121.42690950069802,365.82810957680243,18.925075155383933,1598.0,4697.226796752642
300.0,138,138,0,0,0,0,0,0,0,443352.93829129153,1390003.6069104348,34124.650010355304,188.06729645488153,559.1305301037766,29.180857147875024,3045.0,9191.670325674442
360.0,161,161,0,0,0,0,0,0,0,595648.48171864,1867481.3458770511,45010.77534812094,248.42922895655218,747.679827694121,38.43949444604158,4652.0,15606.091606989396
420.0,176,176,0,0,0,0,0,0,0,764860.4743898474,2397992.8103070385,59550.93328269829,326.9457770717704,959.524017559352,49.562185725439555,6605.0,24193.156340734626
480.0,206,206,0,0,0,0,0,0,0,985902.6838818968,3091005.6550384667,76784.86851415625,421.47546706883816,1242.4994096583646,63.58234103408363,9152.0,35689.59826267561
540.0,225,225,0,0,0,0,0,0,0,1190489.0694149917,3732427.230048797,90067.74696433055,496.33850893931964,1497.452013576067,75.21813605611736,11921.0,49666.6857012777
600.0,243,243,0,0,0,0,0,0,0,1428981.176179681,4480148.078414708,108824.76594126335,598.9490289654328,1799.3123311456443,90.41241640781459,14743.0,65647.85747796715
660.0,244,244,0,0,0,0,0,0,0,1692978.5901336423,5307836.076995991,128253.01388929778,706.5615412257532,2132.227355815961,107.49221660311343,17815.0,83633.07563677979
720.0,260,260,0,0,0,0,0,0,0,1956495.5437216253,6134018.896372612,145627.86345320957,804.6209376757271,2461.9935467096084,123.39283752136774,21085.0,104018.01660946758
780.0,270,270,0,0,0,0,0,0,0,2236216.135410535,7010999.206814067,168986.95579790714,931.2516578139523,2822.946467882735,141.65069042780962,24450.0,125772.67507506469
840.0,279,279,0,0,0,0,0,0,0,2522754.7740314524,7909356.639170683,189665.12547877672,1046.0258617221343,3179.012194616244,159.2872994621629,28095.0,148953.63579534515
900.0,274,274,0,0,0,0,0,0,0,2813047.9166528666,8819487.25013617,210802.7506078116,1163.1851375835292,3546.1084222858663,177.61060441247417,31512.0,173680.17776966753
960.0,283,283,0,0,0,0,0,0,0,3098071.9914513947,9713093.579826213,233284.48343421175,1286.1793769029791,3903.22075292567,195.45828591144843,34971.0,199798.02174512218
1020.0,283,283,0,0,0,0,0,0,0,3378149.6971358783,10591192.370113123,255488.84641348495,1407.5704719967064,4255.590284524662,213.09987422841678,38380.0,226187.95567991913
1080.0,276,276,0,0,0,0,0,0,0,3655841.3679355774,11461813.540523022,275755.129742982,1519.9293906161263,4605.680906438832,230.3160452218382,41888.0,252390.7713433041
1140.0,277,277,0,0,0,0,0,0,0,3914813.566419027,12273745.744558832,293112.4380703276,1617.42140032681,4929.517831363451,245.35830848434964,45265.0,277500.3496507664
