Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
60.0,21,20,1,0,0,0,0,0,0,21050.038825013,66173.20865445264,888.5454668897698,5.157839992752792,131.74732709845185,3.3403564616586316,0.0,33.08317052411664
120.0,51,49,1,0,0,0,0,1,0,61916.51892064223,194627.68604786054,3049.8644842965755,16.975957520640932,398.13092545918175,9.962069016628126,151.75,348.3555301386346
180.0,90,88,1,0,0,0,0,1,0,163805.13064384204,514323.11773543584,11624.170926265986,62.958397016265,703.447917711938,20.997768624295325,1017.5,1678.4497582648532
240.0,107,104,1,0,0,0,0,2,0,263294.5535123234,826465.1773145346,18367.699116081207,100.04165480554076,965.0338106757271,29.19187062899831,2324.5,4124.801476814154
300.0,124,121,1,0,0,0,0,2,0,364936.51776409365,1145554.7698132026,26216.79102573942,141.7861553967216,1371.1015358753148,41.32211664971188,4398.5,8461.588770265284
360.0,130,126,1,0,0,0,0,3,0,520291.36657321465,1633869.1755338148,36265.54479479281,196.12497831882317,2263.9448364273476,63.31721724529412,6919.5,14629.330799019
420.0,146,142,1,0,0,0,0,3,0,706588.2976732983,2218996.2173829824,49005.03285732048,265.3997885467752,3152.7775031458073,87.46129459697228,9480.25,22282.63067775812
480.0,166,161,1,0,0,0,0,3,1,893699.4256751066,2806489.6657952303,62613.763492038044,339.1091386988357,3879.3203503135337,108.56937039363258,12534.25,32043.957770066405
540.0,176,172,0,0,0,0,0,3,1,1081868.0113993092,3397219.2136842683,78583.6359268129,423.6966213546816,4603.418041249076,130.5893488968907,15862.75,43367.4650520689
600.0,189,184,0,0,0,0,0,4,1,1280550.6884571905,4021023.80383807,92761.747101605,504.1751868579963,5365.25531263115,153.48186497628785,18914.25,55808.39256982997
660.0,203,198,0,0,0,0,0,4,1,1475220.9495413152,4632149.794404178,106221.86438871123,584.3417771814819,6071.305016709645,174.85098018334568,22354.5,69742.13667089875
720.0,205,199,0,0,0,0,0,5,1,1702221.6773678022,5344632.463139099,126430.79396119325,706.8349514619346,6884.821192146178,202.70580883870335,26524.0,85437.8420913874
780.0,196,190,0,0,0,0,0,5,1,1907029.6202120215,5987987.244771851,140571.75265556606,798.3335411941509,7885.025492012232,231.02541181388406,30489.5,100852.15784604057
840.0,199,192,1,0,0,0,0,5,1,2138761.804639403,6716327.250859152,155956.96199559237,881.0688899861747,9236.477871012652,264.517412461108,34212.75,117788.90359783523
