Loading configuration ... done.
***Starting server on port 55931 ***
Loading net-file from '/usr/app/simulation/Ingolstadt_SUMO_365/ingolstadt_net.net.xml' ... done (3903ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-19_tlLogics_24h.tll.xml' ... done (67ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-19_WAUT.xml' ... done (5ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/pt_stops.add.xml' ... done (19ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/2023-06-19_gtfs_trips.rou.xml' ... 
done (558ms).
Loading done.
Simulation version 1.18.0 started with time: 0.00.
Step #0.00 (203ms ~= 4.93*RT, ~0.00UPS, TraCI: 0ms, vehicles TOT 0 ACT 0 BUF 0)           
Step #100.00 (1ms ~= 1000.00*RT, ~41000.00UPS, TraCI: 0ms, vehicles TOT 42 ACT 41 BUF 0)  
Step #200.00 (21ms ~= 47.62*RT, ~5000.00UPS, TraCI: 1ms, vehicles TOT 107 ACT 105 BUF 0)  
Step #300.00 (4ms ~= 250.00*RT, ~34500.00UPS, TraCI: 49ms, vehicles TOT 150 ACT 138 BUF 0)
Step #400.00 (3ms ~= 333.33*RT, ~56666.67UPS, TraCI: 0ms, vehicles TOT 195 ACT 170 BUF 0) 
Step #500.00 (7ms ~= 142.86*RT, ~29714.29UPS, TraCI: 0ms, vehicles TOT 251 ACT 208 BUF 0) 
Step #600.00 (3ms ~= 333.33*RT, ~81000.00UPS, TraCI: 81ms, vehicles TOT 311 ACT 243 BUF 0)
Step #700.00 (5ms ~= 200.00*RT, ~50600.00UPS, TraCI: 0ms, vehicles TOT 360 ACT 253 BUF 0) 
Step #800.00 (5ms ~= 200.00*RT, ~54000.00UPS, TraCI: 0ms, vehicles TOT 413 ACT 270 BUF 0) 
Step #900.00 (4ms ~= 250.00*RT, ~68500.00UPS, TraCI: 92ms, vehicles TOT 456 ACT 274 BUF 0)
Step #1000.00 (5ms ~= 200.00*RT, ~56800.00UPS, TraCI: 0ms, vehicles TOT 513 ACT 284 BUF 0)
Step #1100.00 (5ms ~= 200.00*RT, ~56000.00UPS, TraCI: 0ms, vehicles TOT 566 ACT 280 BUF 0)
Step #1200.00 (5ms ~= 200.00*RT, ~55400.00UPS, TraCI: 97ms, vehicles TOT 621 ACT 277 BUF 0
Step #1300.00 (24ms ~= 41.67*RT, ~11666.67UPS, TraCI: 0ms, vehicles TOT 673 ACT 280 BUF 0)
Step #1400.00 (4ms ~= 250.00*RT, ~69250.00UPS, TraCI: 0ms, vehicles TOT 717 ACT 277 BUF 0)
Step #1500.00 (6ms ~= 166.67*RT, ~46166.67UPS, TraCI: 97ms, vehicles TOT 774 ACT 277 BUF 0
Step #1600.00 (6ms ~= 166.67*RT, ~46500.00UPS, TraCI: 0ms, vehicles TOT 826 ACT 279 BUF 0)
Step #1700.00 (5ms ~= 200.00*RT, ~55400.00UPS, TraCI: 0ms, vehicles TOT 871 ACT 277 BUF 0)
Step #1800.00 (5ms ~= 200.00*RT, ~54800.00UPS, TraCI: 101ms, vehicles TOT 919 ACT 274 BUF 
Step #1900.00 (7ms ~= 142.86*RT, ~39000.00UPS, TraCI: 0ms, vehicles TOT 964 ACT 273 BUF 0)
Step #2000.00 (5ms ~= 200.00*RT, ~52600.00UPS, TraCI: 0ms, vehicles TOT 1024 ACT 263 BUF 0
Step #2100.00 (5ms ~= 200.00*RT, ~53800.00UPS, TraCI: 95ms, vehicles TOT 1081 ACT 269 BUF 
Step #2200.00 (5ms ~= 200.00*RT, ~55000.00UPS, TraCI: 0ms, vehicles TOT 1130 ACT 275 BUF 0
Step #2300.00 (5ms ~= 200.00*RT, ~53200.00UPS, TraCI: 0ms, vehicles TOT 1184 ACT 266 BUF 0
Step #2400.00 (12ms ~= 83.33*RT, ~22583.33UPS, TraCI: 96ms, vehicles TOT 1240 ACT 271 BUF 
Step #2500.00 (6ms ~= 166.67*RT, ~48000.00UPS, TraCI: 0ms, vehicles TOT 1292 ACT 288 BUF 0
Step #2600.00 (6ms ~= 166.67*RT, ~47833.33UPS, TraCI: 1ms, vehicles TOT 1335 ACT 287 BUF 0
Step #2700.00 (6ms ~= 166.67*RT, ~48000.00UPS, TraCI: 97ms, vehicles TOT 1394 ACT 288 BUF 
Step #2800.00 (7ms ~= 142.86*RT, ~39857.14UPS, TraCI: 0ms, vehicles TOT 1436 ACT 279 BUF 0
Step #2900.00 (5ms ~= 200.00*RT, ~55800.00UPS, TraCI: 0ms, vehicles TOT 1485 ACT 279 BUF 0
Step #3000.00 (29ms ~= 34.48*RT, ~8965.52UPS, TraCI: 83ms, vehicles TOT 1524 ACT 260 BUF 0
Step #3100.00 (5ms ~= 200.00*RT, ~56200.00UPS, TraCI: 1ms, vehicles TOT 1589 ACT 281 BUF 0
Step #3200.00 (6ms ~= 166.67*RT, ~43000.00UPS, TraCI: 0ms, vehicles TOT 1629 ACT 258 BUF 0
Step #3300.00 (5ms ~= 200.00*RT, ~51400.00UPS, TraCI: 88ms, vehicles TOT 1683 ACT 257 BUF 
Step #3400.00 (5ms ~= 200.00*RT, ~50400.00UPS, TraCI: 1ms, vehicles TOT 1727 ACT 252 BUF 0
Step #3500.00 (7ms ~= 142.86*RT, ~38571.43UPS, TraCI: 1ms, vehicles TOT 1789 ACT 270 BUF 0
Step #3600.00 (17ms ~= 58.82*RT, ~15882.35UPS, TraCI: 89ms, vehicles TOT 1847 ACT 270 BUF 
Step #3700.00 (6ms ~= 166.67*RT, ~43333.33UPS, TraCI: 0ms, vehicles TOT 1879 ACT 260 BUF 0
Step #3800.00 (5ms ~= 200.00*RT, ~46800.00UPS, TraCI: 1ms, vehicles TOT 1911 ACT 234 BUF 0
Step #3900.00 (5ms ~= 200.00*RT, ~44800.00UPS, TraCI: 77ms, vehicles TOT 1951 ACT 224 BUF 
Step #4000.00 (5ms ~= 200.00*RT, ~44400.00UPS, TraCI: 0ms, vehicles TOT 1996 ACT 222 BUF 0
Step #4100.00 (7ms ~= 142.86*RT, ~31285.71UPS, TraCI: 0ms, vehicles TOT 2032 ACT 219 BUF 0
Step #4200.00 (5ms ~= 200.00*RT, ~42600.00UPS, TraCI: 71ms, vehicles TOT 2066 ACT 213 BUF 
Step #4300.00 (6ms ~= 166.67*RT, ~33166.67UPS, TraCI: 0ms, vehicles TOT 2110 ACT 199 BUF 0
Step #4400.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 0ms, vehicles TOT 2168 ACT 217 BUF 0
Step #4500.00 (12ms ~= 83.33*RT, ~18916.67UPS, TraCI: 77ms, vehicles TOT 2215 ACT 227 BUF 
Step #4600.00 (5ms ~= 200.00*RT, ~44600.00UPS, TraCI: 0ms, vehicles TOT 2254 ACT 223 BUF 0
Step #4700.00 (22ms ~= 45.45*RT, ~10181.82UPS, TraCI: 0ms, vehicles TOT 2302 ACT 224 BUF 0
Step #4800.00 (14ms ~= 71.43*RT, ~14857.14UPS, TraCI: 72ms, vehicles TOT 2342 ACT 208 BUF 
Step #4900.00 (5ms ~= 200.00*RT, ~43000.00UPS, TraCI: 0ms, vehicles TOT 2389 ACT 215 BUF 0
Step #5000.00 (5ms ~= 200.00*RT, ~44200.00UPS, TraCI: 0ms, vehicles TOT 2431 ACT 221 BUF 0
Step #5100.00 (29ms ~= 34.48*RT, ~7551.72UPS, TraCI: 76ms, vehicles TOT 2471 ACT 219 BUF 0
Step #5200.00 (6ms ~= 166.67*RT, ~34333.33UPS, TraCI: 1ms, vehicles TOT 2513 ACT 206 BUF 0
Step #5300.00 (5ms ~= 200.00*RT, ~39600.00UPS, TraCI: 1ms, vehicles TOT 2551 ACT 198 BUF 0
Step #5400.00 (23ms ~= 43.48*RT, ~9000.00UPS, TraCI: 73ms, vehicles TOT 2594 ACT 207 BUF 0
Step #5500.00 (6ms ~= 166.67*RT, ~32666.67UPS, TraCI: 0ms, vehicles TOT 2626 ACT 196 BUF 0
Step #5600.00 (5ms ~= 200.00*RT, ~38600.00UPS, TraCI: 0ms, vehicles TOT 2655 ACT 193 BUF 0
Step #5700.00 (46ms ~= 21.74*RT, ~4500.00UPS, TraCI: 70ms, vehicles TOT 2710 ACT 207 BUF 0
Step #5800.00 (5ms ~= 200.00*RT, ~41000.00UPS, TraCI: 0ms, vehicles TOT 2745 ACT 205 BUF 0
Step #5900.00 (5ms ~= 200.00*RT, ~40400.00UPS, TraCI: 0ms, vehicles TOT 2782 ACT 202 BUF 0
Step #6000.00 (15ms ~= 66.67*RT, ~14133.33UPS, TraCI: 76ms, vehicles TOT 2828 ACT 212 BUF 
Step #6100.00 (5ms ~= 200.00*RT, ~41200.00UPS, TraCI: 1ms, vehicles TOT 2862 ACT 206 BUF 0
Step #6200.00 (7ms ~= 142.86*RT, ~28428.57UPS, TraCI: 0ms, vehicles TOT 2902 ACT 199 BUF 0
Step #6300.00 (8ms ~= 125.00*RT, ~25375.00UPS, TraCI: 68ms, vehicles TOT 2939 ACT 203 BUF 
Step #6400.00 (6ms ~= 166.67*RT, ~33000.00UPS, TraCI: 0ms, vehicles TOT 2969 ACT 198 BUF 0
Step #6500.00 (6ms ~= 166.67*RT, ~30333.33UPS, TraCI: 0ms, vehicles TOT 3002 ACT 182 BUF 0
Step #6600.00 (34ms ~= 29.41*RT, ~5441.18UPS, TraCI: 73ms, vehicles TOT 3043 ACT 185 BUF 0
