Loading configuration ... done.
***Starting server on port 49395 ***
Loading net-file from '/usr/app/simulation/Ingolstadt_SUMO_365/ingolstadt_net.net.xml' ... done (3998ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_tlLogics_24h.tll.xml' ... done (70ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_WAUT.xml' ... done (5ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/pt_stops.add.xml' ... done (20ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/2023-06-20_gtfs_trips.rou.xml' ... 
done (574ms).
Loading done.
Simulation version 1.18.0 started with time: 0.00.
Step #0.00 (257ms ~= 3.89*RT, ~3.89UPS, TraCI: 1ms, vehicles TOT 1 ACT 1 BUF 0)           
Step #100.00 (29ms ~= 34.48*RT, ~1448.28UPS, TraCI: 0ms, vehicles TOT 43 ACT 42 BUF 0)    
Step #200.00 (5ms ~= 200.00*RT, ~18800.00UPS, TraCI: 1ms, vehicles TOT 96 ACT 94 BUF 0)   
Step #300.00 (25ms ~= 40.00*RT, ~4840.00UPS, TraCI: 47ms, vehicles TOT 134 ACT 121 BUF 0) 
Step #400.00 (5ms ~= 200.00*RT, ~29400.00UPS, TraCI: 1ms, vehicles TOT 178 ACT 147 BUF 0) 
Step #500.00 (21ms ~= 47.62*RT, ~8380.95UPS, TraCI: 0ms, vehicles TOT 227 ACT 176 BUF 0)  
Step #600.00 (9ms ~= 111.11*RT, ~21000.00UPS, TraCI: 63ms, vehicles TOT 273 ACT 189 BUF 0)
Step #700.00 (7ms ~= 142.86*RT, ~30000.00UPS, TraCI: 0ms, vehicles TOT 316 ACT 210 BUF 0) 
Step #800.00 (7ms ~= 142.86*RT, ~31000.00UPS, TraCI: 0ms, vehicles TOT 361 ACT 217 BUF 0) 
Step #900.00 (39ms ~= 25.64*RT, ~5564.10UPS, TraCI: 74ms, vehicles TOT 396 ACT 217 BUF 0) 
Step #1000.00 (4ms ~= 250.00*RT, ~55500.00UPS, TraCI: 0ms, vehicles TOT 444 ACT 222 BUF 0)
Step #1100.00 (8ms ~= 125.00*RT, ~28625.00UPS, TraCI: 0ms, vehicles TOT 495 ACT 229 BUF 0)
Step #1200.00 (34ms ~= 29.41*RT, ~6735.29UPS, TraCI: 74ms, vehicles TOT 534 ACT 229 BUF 0)
Step #1300.00 (8ms ~= 125.00*RT, ~28625.00UPS, TraCI: 0ms, vehicles TOT 590 ACT 229 BUF 0)
Step #1400.00 (7ms ~= 142.86*RT, ~33714.29UPS, TraCI: 0ms, vehicles TOT 640 ACT 236 BUF 0)
Step #1500.00 (9ms ~= 111.11*RT, ~27222.22UPS, TraCI: 84ms, vehicles TOT 690 ACT 245 BUF 0
Step #1600.00 (10ms ~= 100.00*RT, ~25300.00UPS, TraCI: 0ms, vehicles TOT 745 ACT 253 BUF 0
Step #1700.00 (8ms ~= 125.00*RT, ~30250.00UPS, TraCI: 0ms, vehicles TOT 773 ACT 242 BUF 0)
Step #1800.00 (8ms ~= 125.00*RT, ~31500.00UPS, TraCI: 81ms, vehicles TOT 831 ACT 252 BUF 0
Step #1900.00 (21ms ~= 47.62*RT, ~11714.29UPS, TraCI: 1ms, vehicles TOT 876 ACT 246 BUF 0)
Step #2000.00 (11ms ~= 90.91*RT, ~22909.09UPS, TraCI: 0ms, vehicles TOT 931 ACT 252 BUF 0)
Step #2100.00 (8ms ~= 125.00*RT, ~32000.00UPS, TraCI: 88ms, vehicles TOT 984 ACT 256 BUF 0
Step #2200.00 (7ms ~= 142.86*RT, ~35142.86UPS, TraCI: 0ms, vehicles TOT 1025 ACT 246 BUF 0
Step #2300.00 (6ms ~= 166.67*RT, ~41333.33UPS, TraCI: 0ms, vehicles TOT 1076 ACT 248 BUF 0
Step #2400.00 (15ms ~= 66.67*RT, ~16733.33UPS, TraCI: 81ms, vehicles TOT 1126 ACT 251 BUF 
Step #2500.00 (10ms ~= 100.00*RT, ~25300.00UPS, TraCI: 0ms, vehicles TOT 1168 ACT 253 BUF 
Step #2600.00 (10ms ~= 100.00*RT, ~25300.00UPS, TraCI: 1ms, vehicles TOT 1218 ACT 253 BUF 
